#index	label	wavelength	comment
521	InwC      41.2152m		reflected incident continuum (only incident) 
522	nFnu      30.8695m		total continuum at selected energy points 
523	nInu      30.8695m		transmitted and reflected incident continuum at selected energy points 
524	InwT      30.8695m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
525	InwC      30.8695m		reflected incident continuum (only incident) 
526	nFnu      24.7829m		total continuum at selected energy points 
527	nInu      24.7829m		transmitted and reflected incident continuum at selected energy points 
528	InwT      24.7829m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
529	InwC      24.7829m		reflected incident continuum (only incident) 
530	nFnu      24.2998m		total continuum at selected energy points 
531	nInu      24.2998m		transmitted and reflected incident continuum at selected energy points 
532	InwT      24.2998m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
533	InwC      24.2998m		reflected incident continuum (only incident) 
534	nFnu      22.8302m		total continuum at selected energy points 
535	nInu      22.8302m		transmitted and reflected incident continuum at selected energy points 
536	InwT      22.8302m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
537	InwC      22.8302m		reflected incident continuum (only incident) 
538	nFnu      21.4199m		total continuum at selected energy points 
539	nInu      21.4199m		transmitted and reflected incident continuum at selected energy points 
540	InwT      21.4199m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
541	InwC      21.4199m		reflected incident continuum (only incident) 
542	nFnu      21.1235m		total continuum at selected energy points 
543	nInu      21.1235m		transmitted and reflected incident continuum at selected energy points 
544	InwT      21.1235m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
545	InwC      21.1235m		reflected incident continuum (only incident) 
546	nFnu      19.6199m		total continuum at selected energy points 
547	nInu      19.6199m		transmitted and reflected incident continuum at selected energy points 
548	InwT      19.6199m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
549	InwC      19.6199m		reflected incident continuum (only incident) 
550	nFnu      17.6534m		total continuum at selected energy points 
551	nInu      17.6534m		transmitted and reflected incident continuum at selected energy points 
552	InwT      17.6534m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
553	InwC      17.6534m		reflected incident continuum (only incident) 
554	nFnu      17.3700m		total continuum at selected energy points 
555	nInu      17.3700m		transmitted and reflected incident continuum at selected energy points 
556	InwT      17.3700m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
557	InwC      17.3700m		reflected incident continuum (only incident) 
558	nFnu      15.6901m		total continuum at selected energy points 
559	nInu      15.6901m		transmitted and reflected incident continuum at selected energy points 
560	InwT      15.6901m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
561	InwC      15.6901m		reflected incident continuum (only incident) 
562	nFnu      14.6036m		total continuum at selected energy points 
563	nInu      14.6036m		transmitted and reflected incident continuum at selected energy points 
564	InwT      14.6036m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
565	InwC      14.6036m		reflected incident continuum (only incident) 
566	nFnu      12.4300m		total continuum at selected energy points 
567	nInu      12.4300m		transmitted and reflected incident continuum at selected energy points 
568	InwT      12.4300m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
569	InwC      12.4300m		reflected incident continuum (only incident) 
570	nFnu      11.4000m		total continuum at selected energy points 
571	nInu      11.4000m		transmitted and reflected incident continuum at selected energy points 
572	InwT      11.4000m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
573	InwC      11.4000m		reflected incident continuum (only incident) 
